accelerator,signal,filter,chan_in,chan_out,Synth-Latency,DSP,LUT,flip-flop,bram,Synth-Area-Throughput,max slack,max datapath delay,max logic datapath delay,max logic datapath delay pct,max route datapath delay,max route datapath delay pct,min slack,min datapath delay,min logic datapath delay,min logic datapath delay pct,min route datapath delay,min route datapath delay pct,Total power,Dynamic total power,Static total power,Core power,LUT: logic util,LUT: shift util,Register util,RAM util,area_pct,Res 0: Itercount,Res 0: Delay (s),Res 0: Synth Area-Delay (s * LUT),Res 0: Worst-case total power usage (W*s) (board min freq),Res 0: Worst-case total power usage (W*s) (chip min freq),Res 0: Best-case total power usage (W*s) (board min freq),Res 0: Best-case total power usage (W*s) (chip min freq),Res 0: Total EADP (Total power) (W*s*chip area used) (Worst-case),Res 0: Total EADP (Total power) (W*s*chip area used) (Best-case),Res 0: Worst-case core power usage (W*s) (board min freq),Res 0: Worst-case core power usage (W*s) (chip min freq),Res 0: Best-case core power usage (W*s) (board min freq),Res 0: Best-case core power usage (W*s) (chip min freq),Res 0: Total EADP (Core power) (W*s*chip area used) (Worst-case),Res 0: Total EADP (Core power) (W*s*chip area used) (Best-case),Res 1: Itercount,Res 1: Delay (s),Res 1: Synth Area-Delay (s * LUT),Res 1: Worst-case total power usage (W*s) (board min freq),Res 1: Worst-case total power usage (W*s) (chip min freq),Res 1: Best-case total power usage (W*s) (board min freq),Res 1: Best-case total power usage (W*s) (chip min freq),Res 1: Total EADP (Total power) (W*s*chip area used) (Worst-case),Res 1: Total EADP (Total power) (W*s*chip area used) (Best-case),Res 1: Worst-case core power usage (W*s) (board min freq),Res 1: Worst-case core power usage (W*s) (chip min freq),Res 1: Best-case core power usage (W*s) (board min freq),Res 1: Best-case core power usage (W*s) (chip min freq),Res 1: Total EADP (Core power) (W*s*chip area used) (Worst-case),Res 1: Total EADP (Core power) (W*s*chip area used) (Best-case),Res 2: Itercount,Res 2: Delay (s),Res 2: Synth Area-Delay (s * LUT),Res 2: Worst-case total power usage (W*s) (board min freq),Res 2: Worst-case total power usage (W*s) (chip min freq),Res 2: Best-case total power usage (W*s) (board min freq),Res 2: Best-case total power usage (W*s) (chip min freq),Res 2: Total EADP (Total power) (W*s*chip area used) (Worst-case),Res 2: Total EADP (Total power) (W*s*chip area used) (Best-case),Res 2: Worst-case core power usage (W*s) (board min freq),Res 2: Worst-case core power usage (W*s) (chip min freq),Res 2: Best-case core power usage (W*s) (board min freq),Res 2: Best-case core power usage (W*s) (chip min freq),Res 2: Total EADP (Core power) (W*s*chip area used) (Worst-case),Res 2: Total EADP (Core power) (W*s*chip area used) (Best-case),Resnet (average): Itercount,Resnet (average): Delay (s),Resnet (average): Synth Area-Delay (s * LUT),Resnet (average): Worst-case total power usage (W*s) (board min freq),Resnet (average): Worst-case total power usage (W*s) (chip min freq),Resnet (average): Best-case total power usage (W*s) (board min freq),Resnet (average): Best-case total power usage (W*s) (chip min freq),Resnet (average): Total EADP (Total power) (W*s*chip area used) (Worst-case),Resnet (average): Total EADP (Total power) (W*s*chip area used) (Best-case),Resnet (average): Worst-case core power usage (W*s) (board min freq),Resnet (average): Worst-case core power usage (W*s) (chip min freq),Resnet (average): Best-case core power usage (W*s) (board min freq),Resnet (average): Best-case core power usage (W*s) (chip min freq),Resnet (average): Total EADP (Core power) (W*s*chip area used) (Worst-case),Resnet (average): Total EADP (Core power) (W*s*chip area used) (Best-case)
eyeriss,2,1,1,1,60.083999999999996,2,921,473,6,55337.363999999994,13.616529131262281,5.282688967273577,1.2269584905468887,23.22576169873945,4.016913864673026,76.03957620530515,0.08174294324978106,0.3077684209456592,0.1417688028066524,46.08133056447026,0.15901533791508016,51.64978555734289,1.717,1.577,0.141,0.01,0.001,0.34,0.87,0.007,0.58625,268435456,16.128675938304,14854.510539177982,8.71071913203218,2.4348107744928447,0.1795272203617794,0.1418515971713337,5.106659091153866,0.10524783293709318,0.05073220228323926,0.014180610218362517,0.0010455866066498506,0.0008261595641894798,0.02974175358854902,0.000612975148148475,12845056,0.771782344704,710.8115394723839,0.4168215209663837,0.11650949995131776,0.00859065800559296,0.006787820567768898,0.24436161666654246,0.005036273255778873,0.002427615148319066,0.0006785643561521126,5.0032952857268245e-05,3.9533026020785653e-05,0.0014231893807020526,2.933181861257351e-05,37748736,2.2680950538239997,2088.915544571904,1.2249448779420253,0.34239526516305624,0.02524601536337523,0.0199478808522188,0.7181239346935124,0.01480047650677873,0.0071342159460805205,0.001994148311957229,0.00014703561656013528,0.0001161786887141456,0.004182434098389706,8.619963020837932e-05,89478485.33333333,5.376225312768,4951.503513059327,2.903573044010727,0.8116035914976149,0.0598424067872598,0.0472838657237779,1.7022196970512888,0.03508261097903106,0.01691073409441309,0.004726870072787505,0.00034852886888328354,0.0002753865213964933,0.009913917862849673,0.000204325049382825
diannao,2,1,1,1,52.212,4,369,362,6,19266.228000000003,9.608928331121716,9.920759818735585,6.418999999999998,64.70219127332392,3.5015092662706335,35.29527582264788,0.09612793245251014,0.31759785802856,0.15653543995161306,49.26821533926168,0.15520191481633594,48.87901400951111,1.712,1.571,0.141,0.005,0.001,0.34,0.66,0.003,0.45625000000000004,268435456,14.015552028672001,5171.7386985799685,8.975092793804595,4.559199270104604,0.19013244514019007,0.14595574824581783,4.0948860871733475,0.08674792809521173,0.026212303720223703,0.01331541842904382,0.0005552933561337327,0.0004262726292225989,0.011959363572352066,0.0002533525937360156,12845056,0.6706660638720001,247.475777568768,0.4294722137660403,0.21816480882336486,0.009098134581903627,0.006984210609419018,0.1959466975307559,0.00415102390299353,0.001254299689737267,0.0006371635771710421,2.6571654736868065e-05,2.0397811359284515e-05,0.0005722742334426282,1.2123317473696055e-05,37748736,1.970937004032,727.2757544878081,1.2621224241287714,0.64113739735846,0.026737375097839224,0.020525027097068133,0.575843356008752,0.012198927388389147,0.003686105210656458,0.001872480716584287,7.808812820630616e-05,5.994458848442796e-05,0.001681785502362009,3.5627708494127186e-05,89478485.33333333,4.671850676224,1723.9128995266562,2.991697597934865,1.519733090034868,0.06337748171339669,0.04865191608193928,1.3649620290577824,0.028915976031737244,0.008737434573407902,0.004438472809681273,0.0001850977853779109,0.00014209087640753296,0.003986454524117355,8.445086457867186e-05
nvdla,2,1,1,1,114.84,1,863,447,6,99106.92,14.026849879618863,5.657083758192385,2.378476877775642,42.04375472429793,3.156102343431891,55.79012153166938,0.10443423302269211,0.2726168584308847,0.1475968077761035,54.10983586258127,0.11714417904293543,43.00842004203006,1.717,1.576,0.141,0.01,0.001,0.34,0.94,0.007,0.6100000000000001,268435456,30.82712776704,26603.811262955518,9.072397410230296,2.6073707106333934,0.17378423482676947,0.12565011272251445,5.534162420240482,0.10600838324432939,0.052838657019396024,0.015185618582605668,0.001012138816696386,0.0007318003070618197,0.03223158078183158,0.0006174046781847955,12845056,1.47512623104,1273.03393738752,0.43412839170047324,0.12476676252054324,0.008315847174327836,0.006012554222073446,0.26481831893728874,0.005072666776339981,0.0025284122987796927,0.0007266555767067164,4.843242384582315e-05,3.501778813088786e-05,0.0015423315022556128,2.9543778545952128e-05,37748736,4.3350648422399995,3741.16095885312,1.2758058858136356,0.3666615061828209,0.024438408022514454,0.017669547101603598,0.7782415903463179,0.01490742889373382,0.007430436143352565,0.002135477613178922,0.00014233202109792924,0.0001029094181805684,0.004532566047445065,8.682253286973685e-05,89478485.33333333,10.27570925568,8867.937087651839,3.0241324700767653,0.8691235702111312,0.05792807827558982,0.04188337090750482,1.8447208067468273,0.0353361277481098,0.017612885673132007,0.005061872860868556,0.000337379605565462,0.00024393343568727323,0.010743860260610527,0.00020580155939493186
nvdla,2,1,1,8,204.16,8,4174,1700,6,852163.84,11.70527085804894,7.593298266878661,1.3341596688291941,17.570494977878887,6.21238543791651,81.81383303522354,0.07968104060958411,0.27832058679979943,0.1579182087524529,56.75259821798081,0.1089875794502708,39.16356688655106,1.722,1.581,0.141,0.015,0.001,0.34,3.04,0.007,1.8287499999999999,33554432,6.85047283712,28593.87362213888,1.1150854487382535,0.43874633142562375,0.02068559605453729,0.016081567209243173,2.039212514380081,0.037828783784735066,0.009713287880995241,0.003821832155275468,0.00018018811894196247,0.00014008333805960951,0.017763175212370048,0.00032951902251511387,1605632,0.32780582912,1368.2615307468798,0.05335858104313909,0.02099469749985895,0.0009898380924534447,0.0007695281184110502,0.09757950508264061,0.001810166411574237,0.0004647960021179363,0.00018288064024267378,8.62228303530875e-06,6.703206606368033e-06,0.0008499956888731759,1.5768000100820877e-05,4718592,0.96334774272,4021.0134781132797,0.15680889122881692,0.061698702856728335,0.0029089119451693062,0.002261470388799821,0.28676425983469894,0.005319672719728368,0.001365931108264956,0.0005374451468356128,2.533895422621347e-05,1.969921941463259e-05,0.002497946514239538,4.633861254118788e-05,11184810.666666666,2.2834909457066668,9531.291207379627,0.37169514957941785,0.1462487771418746,0.0068951986848457625,0.005360522403081058,0.6797375047933604,0.01260959459491169,0.0032377626269984136,0.0012739440517584894,6.006270631398749e-05,4.669444601986984e-05,0.005921058404123349,0.00010983967417170462
nvdla,2,1,1,2,114.84,2,1334,626,6,153196.56,,,,,,,,,,,,,,,,,,,,,,134217728,15.41356388352,20561.69422061568,,,,,,,,,,,,,6422528,0.73756311552,983.9091961036801,,,,,,,,,,,,,18874368,2.1675324211199998,2891.48824977408,,,,,,,,,,,,,44739242.666666664,5.13785462784,6853.898073538559,,,,,,,,,,,,
nvdla,2,1,1,24,612.48,24,11774,4564,6,7211339.5200000005,6.998690724845329,12.11624694054682,0.642,5.2987765897283365,11.474243973364247,94.70119869086867,0.06101426474990204,0.36045257554879845,0.18489981942384714,51.2954551683325,0.1691936122539991,46.93491480433478,1.735,1.593,0.141,0.027,0.002,0.34,7.9,0.007,4.64625,12582912,7.70678194176,90739.65058228225,0.4173049387480143,0.2645140557551997,0.009201191081758105,0.007869167171457237,1.9389030716579614,0.0427510340636186,0.0064940826202861,0.004116357063625586,0.00014318856438470828,0.00012245966203420483,0.030173131374504294,0.0006652898672724509,551936,0.33804976128,3980.1978893107203,0.018304635578221005,0.011602626631840222,0.0004036004226129247,0.00034517261600060635,0.08504791305530936,0.0018752284635653014,0.0002848560003527188,0.00018055960752719652,6.2808134931117954e-06,5.371562323928743e-06,0.0013235121916388196,2.918222969237068e-05,1622016,0.9934523596800001,11696.90808287232,0.053793214760486215,0.03409751499969371,0.0011860910378828809,0.0010143848306956595,0.24993672408090908,0.0055108754847633355,0.0008371278377712552,0.0005306241527329857,1.84579008777163e-05,1.5785815809096718e-05,0.0038895052162446946,8.576002195308936e-05,4194304.0,2.56892731392,30246.550194094085,0.1391016462493381,0.0881713519183999,0.0030670636939193682,0.002623055723819079,0.6463010238859871,0.014250344687872866,0.0021646942067620333,0.0013721190212085286,4.7729521461569424e-05,4.0819887344734945e-05,0.010057710458168098,0.00022176328909081697
nvdla,2,1,2,24,612.48,48,23911,7676,6,14645009.280000001,1.9851756092436692,17.694406149109412,0.718,4.057710089769379,16.976389504650818,95.94219620011327,0.06537268997879431,0.40933716239104845,0.17340699041070093,42.35333581841489,0.22770876810987709,55.635627448164,1.736,1.595,0.141,0.028,0.003,0.34,14.03,0.007,8.538749999999999,6291456,3.85339097088,92138.43150471168,0.2149397546611567,0.19325773094492427,0.005184765634579563,0.004470767231660364,1.8353168301129514,0.04427141756226624,0.0034667702364702697,0.003117060176531037,8.362525217063812e-05,7.210914889774782e-05,0.02960188435666051,0.0007140551219720361,275968,0.16902488064,4041.55392098304,0.00942810284524442,0.008477044025009291,0.00022742420874335813,0.00019610543114135221,0.08050421316983078,0.001941918462407349,0.00015206617492329714,0.00013672651653240793,3.6681323990864215e-06,3.16299082486052e-06,0.0012984550511263033,3.132126552269918e-05,811008,0.49672617984000006,11877.21968615424,0.027707077749289728,0.024912129379619143,0.0006683486950825218,0.0005763098384562188,0.23658381013174762,0.005706862420135883,0.0004468883507949957,0.00040180853838095394,1.0779817662621321e-05,9.295319975100305e-06,0.003815867905350769,9.204616806670779e-05,2097152.0,1.28446365696,30712.810501570562,0.07164658488705224,0.06441924364830809,0.001728255211526521,0.0014902557438867881,0.6117722767043171,0.01475713918742208,0.0011555900788234232,0.001039020058843679,2.7875084056879373e-05,2.403638296591594e-05,0.009867294785553503,0.0002380183739906787
nvdla,2,1,8,1,210.54,8,4363,1469,6,918586.02,12.460159381086731,6.7533217260017055,1.044,15.459905800814882,5.709234980436577,84.53880152530307,0.0875180808009198,0.33501241121682845,0.1515070529007147,45.221797107470906,0.18102100050258166,54.03430576372619,1.724,1.583,0.141,0.017,0.002,0.34,2.84,0.007,1.7774999999999999,33554432,7.06455011328,30822.63214424064,1.1114583956818282,0.3906650798608216,0.024442476621867396,0.01937974461937483,1.9756172983244495,0.043446502195369295,0.010959856569948424,0.0038522658686971968,0.0002410221012597133,0.00019109956991262886,0.01948114505308332,0.00042841678498914035,1605632,0.33804976127999997,1474.91110846464,0.05318502088711873,0.018693934485527593,0.0011696106977260767,0.0009273510608880534,0.09453637462685353,0.0020789830152081012,0.0005244462616479225,0.0001843369409825807,1.1533284142310502e-05,9.14441301339728e-06,0.0009322032300791822,2.0500412562956915e-05,4718592,0.9934523596799999,4334.4326452838395,0.15629883689275711,0.054937276855428034,0.0034372232749501027,0.002725276587099585,0.27782118257687577,0.006109664371223807,0.0015412298301489971,0.0005417248877855434,3.389373298964719e-05,2.6873377018963434e-05,0.0027395360230898424,6.024611038909788e-05,11184810.666666666,2.35485003776,10274.21071474688,0.37048613189394275,0.13022169328694053,0.008147492207289131,0.006459914873124944,0.6585390994414831,0.014482167398456432,0.0036532855233161413,0.0012840886228990655,8.034070041990444e-05,6.369985663754295e-05,0.00649371501769444,0.00014280559499638013
nvdla,2,1,2,2,114.84,4,2371,929,6,272285.64,13.350756722804679,5.7713855844436335,0.7685302574620688,13.315878090058266,4.7920614381844215,83.03175071540029,0.06429426640575002,0.2995554458289332,0.13499534758179127,45.04947233006279,0.15832745102039344,52.861588009322695,1.72,1.579,0.141,0.013,0.002,0.34,1.73,0.007,1.0887499999999999,67108864,7.70678194176,18272.779983912962,2.2072162256755297,0.6661751440781399,0.04199817027024996,0.03457686016030038,2.403106665704233,0.04572550788173464,0.01668244821731505,0.005035044693613848,0.00031742803111235436,0.0002613367337697122,0.01816301549660176,0.0003455997688735758,3211264,0.36878155776,874.3810734489601,0.1056187451739267,0.03187752154280162,0.002009678069572508,0.0016545567850143738,0.11499240880811269,0.002188036998247068,0.0007982812135238648,0.0002409347558467564,1.518942727002477e-05,1.2505371049527242e-05,0.0008691286712241077,1.6537488940239466e-05,9437184,1.0837662105599999,2569.6096852377605,0.3103897817356214,0.09368087963598842,0.005905992694253902,0.004862370960042241,0.33793687486465773,0.006430149545868936,0.0023459692805599284,0.0007080531600394473,4.463831687517483e-05,3.675047818636577e-05,0.002554174054209622,4.8599967497846595e-05,22369621.333333332,2.56892731392,6090.926661304321,0.7357387418918432,0.22205838135937997,0.013999390090083321,0.01152562005343346,0.8010355552347442,0.015241835960578215,0.00556081607243835,0.0016783482312046159,0.00010580934370411812,8.711224458990406e-05,0.006054338498867253,0.0001151999229578586
nvdla,2,1,8,2,210.54,16,8433,2753,6,1775483.8199999998,8.375468572759475,10.789959027447562,0.58,5.375281479715112,10.20987694220714,94.62395906310792,0.056280572251479706,0.4162641283699007,0.20577683848315734,49.45382651852388,0.19648496548318325,47.176843825488774,1.73,1.589,0.141,0.022,0.002,0.34,5.12,0.007,3.1587500000000004,16777216,3.53227505664,29787.675552645116,0.5562685571451909,0.3131740686959231,0.013715413205725802,0.012081893026854444,1.757113304882372,0.04332356146358638,0.007073935408782772,0.0039825604111620285,0.00017441565926356513,0.00015364257028369812,0.022344793472492585,0.0005509354636987864,802816,0.16902488063999999,1425.38681843712,0.026618319629017916,0.014985868521582261,0.0006563039522271136,0.0005781374592928396,0.08408061712816035,0.002073100109097395,0.00033849886233433183,0.0001905717384247455,8.34606182022919e-06,7.352037054591022e-06,0.0010692332813985708,2.636312277464896e-05,2359296,0.49672617983999995,4188.891874590719,0.07822526584854245,0.0440401034103642,0.001928729982055191,0.0016990162069014062,0.24709405849908347,0.006092375830816835,0.0009947721668600775,0.0005600475578196603,2.452720208393884e-05,2.1605986446145048e-05,0.00314223658206927,7.747529958264183e-05,5592405.333333333,1.17742501888,9929.225184215038,0.18542285238173029,0.10439135623197437,0.004571804401908601,0.004027297675618148,0.5857044349607906,0.014441187154528794,0.0023579784695942573,0.0013275201370540094,5.813855308785504e-05,5.121419009456604e-05,0.007448264490830862,0.00018364515456626213
nvdla,2,2,2,1,122.23499999999999,2,950,491,6,116123.24999999999,13.984496294574987,5.527812445427694,1.7393384632322018,31.466260254446322,3.599851222262218,65.1213094841812,0.11195425969511386,0.23881869281136595,0.14099999999999996,59.03894995098899,0.09270720781470197,38.81007148777644,1.716,1.575,0.141,0.008,0.001,0.34,0.93,0.006,0.6125,33554432,4.101525995519999,3896.4496957439997,1.1235071335134943,0.31828815328399906,0.020197298004857527,0.01375103830946766,0.6881481192770154,0.012370845027975235,0.005237795494235405,0.001483860854470858,9.415989745854325e-05,6.410740470614293e-05,0.003208149740219186,5.767293719335774e-05,6422528,0.7850577100799999,745.8048245759999,0.21504628727406727,0.06092234183951545,0.0038658890712422607,0.0026320346764215443,0.13171585095536623,0.0023678570561358847,0.0010025467938184955,0.0002840202416760627,1.8022792872924293e-05,1.2270557932035172e-05,0.0006140599112138286,1.103896063466613e-05,8388608,1.0253814988799999,974.1124239359999,0.2808767833783736,0.07957203832099977,0.005049324501214382,0.003437759577366915,0.17203702981925384,0.0030927112569938088,0.0013094488735588513,0.0003709652136177145,2.3539974364635812e-05,1.6026851176535734e-05,0.0008020374350547965,1.4418234298339436e-05,11184810.666666666,1.3671753318399997,1298.816565248,0.3745023778378314,0.10609605109466635,0.0067324326682858425,0.00458367943648922,0.2293827064256718,0.004123615009325079,0.0017459318314118016,0.0004946202848236193,3.1386632486181085e-05,2.1369134902047644e-05,0.0010693832467397286,1.9224312397785914e-05
